USN,Department,Year,Skills_Already_Know,Proficiency_Already_Know,Skills_Currently_Learning,Proficiency_Currently_Learning,Skills_Want_To_Learn,Proficiency_Want_To_Learn,Total_Skills
1KG23AD001,AI&DS,1,NumPy; Python,5; 3,Pandas; Git; Scikit-learn; AI,1; 1; 1; 1,Surveying; CAD,0; 2,8
1KG23AD002,AI&DS,2,Machine Learning; Data Visualization; AI,3; 5; 4,NumPy; Scikit-learn; Python,2; 1; 1,Finite Element Analysis; Excel; Git,1; 0; 2,9
1KG23AD003,AI&DS,3,Machine Learning; Data Visualization; Python; Pandas; NumPy,5; 3; 3; 5; 3,SQL; TensorFlow; Git,1; 2; 2,Excel; Project Management; Vehicle Dynamics,0; 2; 1,11
1KG23AD004,AI&DS,4,TensorFlow; Pandas,4; 5,Deep Learning; Python; Statistics; SQL,1; 1; 2; 2,Structural Analysis; Manufacturing; AutoCAD,2; 1; 0,9
1KG23AD005,AI&DS,1,AI; Scikit-learn; TensorFlow; Machine Learning; Data Visualization,5; 4; 4; 3; 3,PyTorch; SQL; Git; Statistics,1; 1; 3; 1,Web Development; Structural Analysis; Revit; Python,2; 1; 2; 0,13
1KG23AD006,AI&DS,2,Statistics; NumPy; Data Visualization,4; 3; 4,TensorFlow; Machine Learning,1; 3,Pandas; C++,2; 2,7
1KG23AD007,AI&DS,3,TensorFlow; Machine Learning; Python; NumPy; Scikit-learn; MATLAB; Pandas,3; 5; 3; 3; 5; 4; 3,PyTorch; SQL; Git; AI,3; 1; 2; 3,Surveying; SolidWorks; Powertrain; Soil Mechanics,2; 1; 1; 2,15
1KG23AD008,AI&DS,4,Data Visualization; Machine Learning; Scikit-learn; Python,5; 3; 3; 3,Statistics; Pandas; SQL; MATLAB,2; 1; 3; 1,CSS; Soil Mechanics; AutoCAD,0; 2; 2,11
1KG23AD009,AI&DS,1,Scikit-learn; PyTorch; Pandas; AI; Data Visualization; Machine Learning,4; 5; 3; 5; 5; 5,Statistics; Python,3; 2,SolidWorks; Manufacturing,0; 2,10
1KG23AD010,AI&DS,2,AI; Pandas; Machine Learning; Data Visualization; TensorFlow,3; 5; 5; 3; 3,Scikit-learn; Git,2; 2,Revit; Engine Systems,0; 1,9
1KG23AD011,AI&DS,3,AI; NumPy; MATLAB; Statistics,3; 3; 4; 3,Pandas; PyTorch,1; 3,Engine Systems; CAD; Surveying,2; 2; 0,9
1KG23AD012,AI&DS,4,SQL; Data Visualization; Deep Learning; Machine Learning,5; 3; 5; 5,MATLAB; Scikit-learn,2; 3,CAD; Docker; Vehicle Dynamics; C++,0; 2; 2; 1,10
1KG23AD013,AI&DS,1,Machine Learning; NumPy; AI; Statistics,3; 4; 5; 5,Scikit-learn; PyTorch,1; 3,GIS; Excel; Structural Analysis,0; 1; 1,9
1KG23AD014,AI&DS,2,NumPy; Scikit-learn; Deep Learning; Data Visualization; SQL,3; 4; 3; 3; 5,Pandas; AI; MATLAB; PyTorch,1; 3; 2; 1,C++; 3D Design; Docker; Engine Systems,0; 2; 1; 1,13
1KG23AD015,AI&DS,3,Statistics; PyTorch; Python,5; 5; 4,SQL; Scikit-learn; Machine Learning; NumPy,3; 1; 2; 3,Process Control; Reaction Engineering; GIS; Concrete Design,1; 1; 0; 1,11
1KG23AD016,AI&DS,4,MATLAB; TensorFlow; Pandas; Machine Learning,3; 4; 3; 3,Statistics; AI; Python; NumPy,1; 3; 1; 2,Data Visualization; SolidWorks,0; 1,10
1KG23AD017,AI&DS,1,Python; Pandas; NumPy; MATLAB; Machine Learning,4; 5; 5; 4; 5,AI; Statistics; Git; Scikit-learn,1; 3; 2; 1,Web Development; TensorFlow,2; 1,11
1KG23AD018,AI&DS,2,Machine Learning; Scikit-learn; Pandas; Data Visualization; NumPy,4; 4; 3; 5; 4,Deep Learning; SQL; MATLAB; Python,3; 2; 3; 2,Reaction Engineering; HTML; Powertrain,0; 0; 1,12
1KG23AD019,AI&DS,3,TensorFlow; Python; Pandas; Scikit-learn; NumPy,4; 4; 4; 5; 3,PyTorch; Data Visualization; Git; Statistics,2; 3; 3; 3,Thermodynamics; AI; Deep Learning; Databases,0; 0; 0; 0,13
1KG23AD020,AI&DS,4,Pandas; SQL; Scikit-learn,5; 5; 3,Deep Learning; Git; MATLAB; Data Visualization,1; 3; 3; 1,Reaction Engineering; SolidWorks,0; 2,9
1KG23AD021,AI&DS,1,Scikit-learn; Pandas; Python; NumPy; Data Visualization; Machine Learning,5; 4; 3; 5; 4; 4,AI; PyTorch; Git,2; 3; 2,SolidWorks; Databases; Web Development; Structural Analysis,2; 1; 0; 1,13
1KG23AD022,AI&DS,2,AI; PyTorch; Scikit-learn; Machine Learning,3; 4; 4; 4,Deep Learning; TensorFlow; Statistics; SQL,2; 2; 3; 3,Git; Organic Chemistry,1; 0,10
1KG23AD023,AI&DS,3,Scikit-learn; NumPy; Pandas; AI; Deep Learning,4; 4; 4; 3; 4,Machine Learning; Python; MATLAB,2; 1; 3,Separation Processes; Reaction Engineering; Git; Powertrain,2; 0; 0; 2,12
1KG23AD024,AI&DS,4,TensorFlow; Machine Learning; Data Visualization; Python; Scikit-learn,4; 4; 4; 4; 3,Statistics; MATLAB; NumPy,1; 3; 1,Concrete Design; Separation Processes; SolidWorks; Manufacturing,0; 2; 0; 0,12
1KG23AD025,AI&DS,1,MATLAB; Scikit-learn; Statistics; Machine Learning; NumPy,3; 4; 3; 5; 3,Git; Pandas; Deep Learning,1; 1; 3,Automotive Design; Finite Element Analysis; HTML; SQL,2; 0; 1; 2,12
1KG23AD026,AI&DS,2,NumPy; Machine Learning; PyTorch; TensorFlow; Data Visualization,4; 5; 4; 5; 3,Scikit-learn; Pandas; Git,3; 2; 2,Powertrain; Automotive Design; Thermodynamics,0; 0; 1,11
1KG23AD027,AI&DS,3,Data Visualization; Scikit-learn; Pandas; NumPy; AI,3; 4; 4; 4; 4,Deep Learning; Statistics; MATLAB; SQL,1; 1; 3; 2,Powertrain; Databases; CSS,2; 2; 1,12
1KG23AD028,AI&DS,4,Python; Scikit-learn; Machine Learning; TensorFlow; Pandas; Statistics,4; 5; 5; 4; 4; 5,Deep Learning; Data Visualization; PyTorch,1; 1; 3,HTML; Finite Element Analysis,2; 2,11
1KG23AD029,AI&DS,1,Pandas; Data Visualization; PyTorch,3; 3; 4,TensorFlow; Scikit-learn,2; 1,CSS; Finite Element Analysis; SolidWorks; Concrete Design,0; 2; 1; 2,9
1KG23AD030,AI&DS,2,Scikit-learn; AI; Machine Learning,4; 4; 4,Statistics; Data Visualization,2; 1,Java; Surveying,0; 2,7
1KG23AD031,AI&DS,3,Data Visualization; Statistics; TensorFlow,3; 5; 4,PyTorch; MATLAB; Python; Deep Learning,2; 2; 2; 3,Scikit-learn; Powertrain; Engine Systems,2; 2; 0,10
1KG23AD032,AI&DS,4,NumPy; PyTorch; Pandas,5; 3; 3,AI; Deep Learning,3; 3,C++; Concrete Design; Soil Mechanics,1; 2; 1,8
1KG23AD033,AI&DS,1,Git; NumPy; TensorFlow; Pandas; Machine Learning; PyTorch,4; 3; 3; 3; 3; 4,Data Visualization; Python; Statistics; Deep Learning,3; 2; 3; 2,3D Design; CAD; Docker,1; 0; 2,13
1KG23AD034,AI&DS,2,PyTorch; SQL; AI,5; 5; 5,MATLAB; Data Visualization,3; 1,Statistics; CSS,2; 1,7
1KG23AD035,AI&DS,3,AI; TensorFlow; Statistics; MATLAB; PyTorch; Pandas,3; 4; 4; 5; 4; 4,Git; Machine Learning; Data Visualization; SQL,2; 1; 2; 2,Process Control; Organic Chemistry; 3D Design,0; 2; 2,13
1KG23AD036,AI&DS,4,Machine Learning; Python; TensorFlow; AI; NumPy; MATLAB,5; 3; 4; 4; 5; 4,Statistics; Git,3; 1,React; Thermodynamics; CAD; Node.js,2; 1; 0; 0,12
1KG23AD037,AI&DS,1,Scikit-learn; Git; Machine Learning,5; 5; 4,AI; MATLAB; Python,2; 3; 1,Deep Learning; Powertrain; Data Visualization,2; 0; 0,9
1KG23AD038,AI&DS,2,NumPy; Data Visualization; PyTorch; AI,5; 5; 5; 4,Git; Machine Learning,2; 2,3D Design; Docker; TensorFlow,1; 1; 0,9
